Time_Index,ERC_PHDL_batteries_1,ERC_PHDL_onshore_wind_turbine_1,ERC_PHDL_solar_photovoltaic_1,ERC_REST_batteries_1,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,ERC_REST_conventional_steam_coal_1,ERC_REST_natural_gas_fired_combined_cycle_1,ERC_REST_natural_gas_fired_combustion_turbine_1,ERC_REST_natural_gas_steam_turbine_1,ERC_REST_nuclear_1,ERC_REST_onshore_wind_turbine_1,ERC_REST_other_peaker_1,ERC_REST_small_hydroelectric_1,ERC_REST_solar_photovoltaic_1,ERC_WEST_batteries_1,ERC_WEST_natural_gas_fired_combined_cycle_1,ERC_WEST_natural_gas_fired_combustion_turbine_1,ERC_WEST_natural_gas_steam_turbine_1,ERC_WEST_onshore_wind_turbine_1,ERC_WEST_other_peaker_1,ERC_WEST_solar_photovoltaic_1,ERC_PHDL_naturalgas_ccccsavgcf_moderate_0,ERC_PHDL_naturalgas_ccavgcf_moderate_0,ERC_PHDL_naturalgas_ctavgcf_moderate_0,ERC_PHDL_battery_advanced_0,ERC_REST_naturalgas_ccccsavgcf_moderate_0,ERC_REST_naturalgas_ccavgcf_moderate_0,ERC_REST_naturalgas_ctavgcf_moderate_0,ERC_REST_battery_advanced_0,ERC_REST_landbasedwind_class3_moderate_0,ERC_REST_landbasedwind_class3_moderate_1,ERC_REST_landbasedwind_class3_moderate_2,ERC_REST_landbasedwind_class3_moderate_3,ERC_REST_utilitypv_class1_moderate_0,ERC_REST_utilitypv_class1_moderate_1,ERC_REST_utilitypv_class1_moderate_2,ERC_REST_utilitypv_class1_moderate_3,ERC_WEST_naturalgas_ccccsavgcf_moderate_0,ERC_WEST_naturalgas_ccavgcf_moderate_0,ERC_WEST_naturalgas_ctavgcf_moderate_0,ERC_WEST_battery_advanced_0,ERC_REST_res_water_heat_1,ERC_WEST_res_water_heat_1,ERC_REST_trans_light_duty_1,ERC_WEST_trans_light_duty_1,ERC_REST_res_space_heat_cool_1,ERC_WEST_res_space_heat_cool_1,ERC_REST_comm_space_heat_cool_1,ERC_WEST_comm_space_heat_cool_1
1,1.000,0.779,0.000,1.000,1.000,0.028,1.000,1.000,1.000,1.000,1.000,0.360,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.901,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.722,0.768,0.622,0.474,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.282,0.282,0.097,0.097,0.187,0.187,0.020,0.020
2,1.000,0.725,0.000,1.000,1.000,0.028,1.000,1.000,1.000,1.000,1.000,0.275,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.835,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.797,0.763,0.536,0.496,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.188,0.188,0.046,0.046,0.224,0.224,0.021,0.021
3,1.000,0.719,0.000,1.000,1.000,0.028,1.000,1.000,1.000,1.000,1.000,0.266,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.766,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.868,0.739,0.530,0.608,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.088,0.088,0.032,0.032,0.270,0.270,0.022,0.022
4,1.000,0.668,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.241,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.695,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.855,0.699,0.663,0.826,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.082,0.082,0.023,0.023,0.306,0.306,0.025,0.025
5,1.000,0.599,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.136,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.615,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.752,0.696,0.694,0.962,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.065,0.065,0.006,0.006,0.342,0.342,0.027,0.027
6,1.000,0.517,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.110,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.523,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.717,0.739,0.687,0.937,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.088,0.088,0.011,0.011,0.354,0.354,0.040,0.040
7,1.000,0.314,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.129,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.498,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.737,0.790,0.713,0.849,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.216,0.216,0.024,0.024,0.383,0.383,0.079,0.079
8,1.000,0.244,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.296,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.452,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.803,0.898,0.774,0.867,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.498,0.498,0.044,0.044,0.278,0.278,0.093,0.093
9,1.000,0.085,0.000,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.310,1.000,1.000,0.178,1.000,1.000,1.000,1.000,0.155,1.000,0.150,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.472,0.590,0.522,0.427,0.255,0.225,0.169,0.225,1.000,1.000,1.000,1.000,0.789,0.789,0.081,0.081,0.247,0.247,0.079,0.079
10,1.000,0.098,0.206,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.323,1.000,1.000,0.433,1.000,1.000,1.000,1.000,0.205,1.000,0.427,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.571,0.688,0.652,0.507,0.528,0.516,0.487,0.497,1.000,1.000,1.000,1.000,0.823,0.823,0.145,0.145,0.232,0.232,0.052,0.052
11,1.000,0.118,0.331,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.566,1.000,1.000,0.594,1.000,1.000,1.000,1.000,0.403,1.000,0.593,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.847,0.847,0.801,0.580,0.696,0.686,0.674,0.661,1.000,1.000,1.000,1.000,0.738,0.738,0.201,0.201,0.249,0.249,0.033,0.033
12,1.000,0.096,0.329,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.631,1.000,1.000,0.685,1.000,1.000,1.000,1.000,0.295,1.000,0.692,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.850,0.790,0.549,0.791,0.778,0.782,0.754,1.000,1.000,1.000,1.000,0.661,0.661,0.265,0.265,0.182,0.182,0.029,0.029
13,1.000,0.084,0.415,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.438,1.000,1.000,0.736,1.000,1.000,1.000,1.000,0.175,1.000,0.739,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.711,0.753,0.705,0.513,0.831,0.832,0.835,0.794,1.000,1.000,1.000,1.000,0.605,0.605,0.336,0.336,0.153,0.153,0.038,0.038
14,1.000,0.116,0.376,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.294,1.000,1.000,0.740,1.000,1.000,1.000,1.000,0.148,1.000,0.748,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.620,0.716,0.585,0.424,0.833,0.840,0.841,0.781,1.000,1.000,1.000,1.000,0.656,0.656,0.355,0.355,0.124,0.124,0.039,0.039
15,1.000,0.125,0.481,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.313,1.000,1.000,0.706,1.000,1.000,1.000,1.000,0.136,1.000,0.713,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.594,0.726,0.617,0.415,0.792,0.798,0.804,0.756,1.000,1.000,1.000,1.000,0.488,0.488,0.374,0.374,0.102,0.102,0.040,0.040
16,1.000,0.160,0.600,1.000,1.000,0.027,1.000,1.000,1.000,1.000,1.000,0.278,1.000,1.000,0.613,1.000,1.000,1.000,1.000,0.145,1.000,0.635,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.611,0.723,0.586,0.430,0.698,0.704,0.720,0.675,1.000,1.000,1.000,1.000,0.405,0.405,0.392,0.392,0.100,0.100,0.040,0.040
17,1.000,0.102,0.483,1.000,1.000,0.026,1.000,1.000,1.000,1.000,1.000,0.402,1.000,1.000,0.485,1.000,1.000,1.000,1.000,0.068,1.000,0.522,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.569,0.678,0.547,0.375,0.558,0.570,0.596,0.521,1.000,1.000,1.000,1.000,0.468,0.468,0.429,0.429,0.096,0.096,0.040,0.040
