Time_Index,None,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_naturalgas_ccs95
0,0,0.09552,0.05306,0,0.002653
1,0,1.95,4.15,0.81,4.66
2,0,1.95,4.15,0.81,4.66
3,0,1.95,4.15,0.81,4.66
4,0,1.95,4.15,0.81,4.66
5,0,1.95,4.15,0.81,4.66
6,0,1.95,4.15,0.81,4.66
7,0,1.95,4.15,0.81,4.66
8,0,1.95,4.15,0.81,4.66
9,0,1.95,4.15,0.81,4.66
10,0,1.95,4.15,0.81,4.66
11,0,1.95,4.15,0.81,4.66
12,0,1.95,4.15,0.81,4.66
13,0,1.95,4.15,0.81,4.66
14,0,1.95,4.15,0.81,4.66
15,0,1.95,4.15,0.81,4.66
16,0,1.95,4.15,0.81,4.66
17,0,1.95,4.15,0.81,4.66
18,0,1.95,4.15,0.81,4.66
19,0,1.95,4.15,0.81,4.66
20,0,1.95,4.15,0.81,4.66
21,0,1.95,4.15,0.81,4.66
22,0,1.95,4.15,0.81,4.66
23,0,1.95,4.15,0.81,4.66
24,0,1.95,4.15,0.81,4.66
25,0,1.95,4.15,0.81,4.66
26,0,1.95,4.15,0.81,4.66
27,0,1.95,4.15,0.81,4.66
28,0,1.95,4.15,0.81,4.66
29,0,1.95,4.15,0.81,4.66
30,0,1.95,4.15,0.81,4.66
31,0,1.95,4.15,0.81,4.66
32,0,1.95,4.15,0.81,4.66
33,0,1.95,4.15,0.81,4.66
34,0,1.95,4.15,0.81,4.66
35,0,1.95,4.15,0.81,4.66
36,0,1.95,4.15,0.81,4.66
37,0,1.95,4.15,0.81,4.66
38,0,1.95,4.15,0.81,4.66
39,0,1.95,4.15,0.81,4.66
40,0,1.95,4.15,0.81,4.66
41,0,1.95,4.15,0.81,4.66
42,0,1.95,4.15,0.81,4.66
43,0,1.95,4.15,0.81,4.66
44,0,1.95,4.15,0.81,4.66
45,0,1.95,4.15,0.81,4.66
46,0,1.95,4.15,0.81,4.66
47,0,1.95,4.15,0.81,4.66
48,0,1.95,4.15,0.81,4.66
49,0,1.95,4.15,0.81,4.66
50,0,1.95,4.15,0.81,4.66
51,0,1.95,4.15,0.81,4.66
52,0,1.95,4.15,0.81,4.66
53,0,1.95,4.15,0.81,4.66
54,0,1.95,4.15,0.81,4.66
55,0,1.95,4.15,0.81,4.66
56,0,1.95,4.15,0.81,4.66
57,0,1.95,4.15,0.81,4.66
58,0,1.95,4.15,0.81,4.66
59,0,1.95,4.15,0.81,4.66
60,0,1.95,4.15,0.81,4.66
61,0,1.95,4.15,0.81,4.66
62,0,1.95,4.15,0.81,4.66
63,0,1.95,4.15,0.81,4.66
64,0,1.95,4.15,0.81,4.66
65,0,1.95,4.15,0.81,4.66
66,0,1.95,4.15,0.81,4.66
67,0,1.95,4.15,0.81,4.66
68,0,1.95,4.15,0.81,4.66
69,0,1.95,4.15,0.81,4.66
70,0,1.95,4.15,0.81,4.66
71,0,1.95,4.15,0.81,4.66
72,0,1.95,4.15,0.81,4.66
73,0,1.95,4.15,0.81,4.66
74,0,1.95,4.15,0.81,4.66
75,0,1.95,4.15,0.81,4.66
76,0,1.95,4.15,0.81,4.66
77,0,1.95,4.15,0.81,4.66
78,0,1.95,4.15,0.81,4.66
79,0,1.95,4.15,0.81,4.66
80,0,1.95,4.15,0.81,4.66
81,0,1.95,4.15,0.81,4.66
82,0,1.95,4.15,0.81,4.66
83,0,1.95,4.15,0.81,4.66
84,0,1.95,4.15,0.81,4.66
85,0,1.95,4.15,0.81,4.66
86,0,1.95,4.15,0.81,4.66
87,0,1.95,4.15,0.81,4.66
88,0,1.95,4.15,0.81,4.66
89,0,1.95,4.15,0.81,4.66
90,0,1.95,4.15,0.81,4.66
91,0,1.95,4.15,0.81,4.66
92,0,1.95,4.15,0.81,4.66
93,0,1.95,4.15,0.81,4.66
94,0,1.95,4.15,0.81,4.66
95,0,1.95,4.15,0.81,4.66
96,0,1.95,4.15,0.81,4.66
97,0,1.95,4.15,0.81,4.66
98,0,1.95,4.15,0.81,4.66
99,0,1.95,4.15,0.81,4.66
