Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Min_Retired_Cap_MW,region,cluster,CapRes_1
ERC_REST_conventional_steam_coal_1,2,1,0,1,11730.6,0,0,0,71841,2.12,10.68,west_south_central_coal,617.4,140,16.5,24,24,0.57,0.57,0,0.32,0.095,0.19,0,0,7839,ERC_REST,1,0.9
ERC_REST_natural_gas_fired_combined_cycle_1,2,1,0,1,38357.4,0,0,0,13222,4.21,8.61,west_south_central_naturalgas,446.02,104,2,6,6,0.64,0.64,0,0.459,0.106666667,0.213333333,0,0,1233,ERC_REST,1,0.9
ERC_REST_natural_gas_fired_combustion_turbine_1,2,1,0,1,9771.3,0,0,0,12374,5.97,11.29,west_south_central_naturalgas,54.28,135,3.5,1,1,3.78,3.78,0,0.45,0.63,1.26,0,0,577,ERC_REST,1,0.9
ERC_REST_natural_gas_steam_turbine_1,2,1,0,1,7733.2,0,0,0,39194,1.19,14.48,west_south_central_naturalgas,214.81,99,13.7,24,24,0.57,0.57,0,0.156,0.095,0.19,0,0,5777,ERC_REST,1,0.9
ERC_REST_nuclear_1,2,1,0,1,5120,0,0,0,218549,2.84,10.44,west_south_central_uranium,1280,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,ERC_REST,1,0.9
ERC_REST_other_peaker_1,2,1,0,1,1044.6,0,0,0,21000,4.48,8.72,west_south_central_naturalgas,1.58,99,0,1,1,3.78,3.78,0,0.307,0.63,1.26,0,0,0,ERC_REST,1,0.9
ERC_WEST_natural_gas_fired_combined_cycle_1,3,1,0,1,3590.3,0,0,0,12861,4.18,7.36,west_south_central_naturalgas,276.18,104,2,6,6,0.64,0.64,0,0.391,0.106666667,0.213333333,0,0,0,ERC_WEST,1,0.9
ERC_WEST_natural_gas_fired_combustion_turbine_1,3,1,0,1,1208,0,0,0,10969,5.97,13.34,west_south_central_naturalgas,92.92,135,3.5,1,1,3.78,3.78,0,0.443,0.63,1.26,0,0,0,ERC_WEST,1,0.9
ERC_WEST_natural_gas_steam_turbine_1,3,1,0,1,629,0,0,0,35280,1.19,13.26,west_south_central_naturalgas,314.5,99,13.7,24,24,0.57,0.57,0,0.114,0.095,0.19,0,0,387,ERC_WEST,1,0.9
ERC_WEST_other_peaker_1,3,1,0,1,68,0,0,0,21000,4.66,9.07,west_south_central_naturalgas,0.6,99,0,1,1,3.78,3.78,0,0.024,0.63,1.26,0,0,0,ERC_WEST,1,0.9
ERC_PHDL_nuclear_nuclear_moderate_0,1,1,1,0,0,-1,0,586678,168075,2.89,10.44,west_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,ERC_PHDL,0,0.9
ERC_REST_nuclear_nuclear_moderate_0,2,1,1,0,0,-1,0,586678,168075,2.89,10.44,west_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,ERC_REST,0,0.9
ERC_WEST_nuclear_nuclear_moderate_0,3,1,1,0,0,-1,0,586678,168075,2.89,10.44,west_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,ERC_WEST,0,0.9
ERC_PHDL_naturalgas_ccavgcf_moderate_0,1,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,ERC_PHDL,0,0.9
ERC_PHDL_naturalgas_ctavgcf_moderate_0,1,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,ERC_PHDL,0,0.9
ERC_PHDL_naturalgas_ccccsavgcf_moderate_0,1,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,ERC_PHDL,0,0.9
ERC_REST_naturalgas_ccavgcf_moderate_0,2,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,ERC_REST,0,0.9
ERC_REST_naturalgas_ctavgcf_moderate_0,2,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,ERC_REST,0,0.9
ERC_REST_naturalgas_ccccsavgcf_moderate_0,2,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,ERC_REST,0,0.9
ERC_WEST_naturalgas_ccavgcf_moderate_0,3,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,ERC_WEST,0,0.9
ERC_WEST_naturalgas_ctavgcf_moderate_0,3,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,ERC_WEST,0,0.9
ERC_WEST_naturalgas_ccccsavgcf_moderate_0,3,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,ERC_WEST,0,0.9
