Resource,Zone,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,region,cluster,CapRes_1
ERC_PHDL_onshore_wind_turbine_1,1,1,0,4874.3,0,0,0,42190,0,ERC_PHDL,1,0.8
ERC_PHDL_solar_photovoltaic_1,1,1,0,1015,0,0,0,19951,0,ERC_PHDL,1,0.8
ERC_REST_onshore_wind_turbine_1,2,1,0,12327.8,0,0,0,42190,0,ERC_REST,1,0.8
ERC_REST_solar_photovoltaic_1,2,1,0,11977.4,0,0,0,19951,0,ERC_REST,1,0.8
ERC_WEST_onshore_wind_turbine_1,3,1,0,21077.5,0,0,0,42190,0,ERC_WEST,1,0.8
ERC_WEST_solar_photovoltaic_1,3,1,0,8856.6,0,0,0,19951,0,ERC_WEST,1,0.8
ERC_REST_landbasedwind_class3_advanced_0,2,1,1,0,46130.7,0,132991,27713,-27.5,ERC_REST,0,0.8
ERC_REST_landbasedwind_class3_advanced_1,2,1,1,0,47292.5,0,122991,27713,-27.5,ERC_REST,1,0.8
ERC_REST_landbasedwind_class3_advanced_2,2,1,1,0,68035.2,0,133050,27713,-27.5,ERC_REST,2,0.8
ERC_REST_landbasedwind_class3_advanced_3,2,1,1,0,25375,0,129054,27713,-27.5,ERC_REST,3,0.8
ERC_REST_utilitypv_class1_advanced_0,2,1,1,0,60402.1,0,74225,13738,-27.5,ERC_REST,0,0.8
ERC_REST_utilitypv_class1_advanced_1,2,1,1,0,373134.3,0,78167,13738,-27.5,ERC_REST,1,0.8
ERC_REST_utilitypv_class1_advanced_2,2,1,1,0,235577.2,0,105529,13738,-27.5,ERC_REST,2,0.8
ERC_REST_utilitypv_class1_advanced_3,2,1,1,0,741745.3,0,85078,13738,-27.5,ERC_REST,3,0.8
