Resource,Derating_Factor_1
ERC_PHDL_batteries_1,0
ERC_PHDL_onshore_wind_turbine_1,0.8
ERC_PHDL_solar_photovoltaic_1,0.8
ERC_REST_batteries_1,0
ERC_REST_biomass_1,0.9
ERC_REST_conventional_hydroelectric_1,0.8
ERC_REST_conventional_steam_coal_1,0.9
ERC_REST_natural_gas_fired_combined_cycle_1,0.9
ERC_REST_natural_gas_fired_combustion_turbine_1,0.9
ERC_REST_natural_gas_steam_turbine_1,0.9
ERC_REST_nuclear_1,0.9
ERC_REST_onshore_wind_turbine_1,0.8
ERC_REST_other_peaker_1,0.9
ERC_REST_small_hydroelectric_1,0.8
ERC_REST_solar_photovoltaic_1,0.8
ERC_WEST_batteries_1,0
ERC_WEST_natural_gas_fired_combined_cycle_1,0.9
ERC_WEST_natural_gas_fired_combustion_turbine_1,0.9
ERC_WEST_natural_gas_steam_turbine_1,0.9
ERC_WEST_onshore_wind_turbine_1,0.8
ERC_WEST_other_peaker_1,0.9
ERC_WEST_solar_photovoltaic_1,0.8
ERC_PHDL_nuclear_nuclear_moderate_0,0.9
ERC_WEST_nuclear_nuclear_moderate_0,0.9
ERC_REST_nuclear_nuclear_moderate_0,0.9
ERC_PHDL_naturalgas_ccccsavgcf_moderate_0,0.9
ERC_PHDL_naturalgas_ccavgcf_moderate_0,0.9
ERC_PHDL_naturalgas_ctavgcf_moderate_0,0.9
ERC_PHDL_battery_advanced_0,0.95
ERC_REST_naturalgas_ccccsavgcf_moderate_0,0.9
ERC_REST_naturalgas_ccavgcf_moderate_0,0.9
ERC_REST_naturalgas_ctavgcf_moderate_0,0.9
ERC_REST_battery_advanced_0,0.95
ERC_WEST_naturalgas_ccccsavgcf_moderate_0,0.9
ERC_WEST_naturalgas_ccavgcf_moderate_0,0.9
ERC_WEST_naturalgas_ctavgcf_moderate_0,0.9
ERC_WEST_battery_advanced_0,0.95
ERC_REST_landbasedwind_class3_advanced_0,0.8
ERC_REST_landbasedwind_class3_advanced_1,0.8
ERC_REST_landbasedwind_class3_advanced_2,0.8
ERC_REST_landbasedwind_class3_advanced_3,0.8
ERC_REST_utilitypv_class1_advanced_0,0.8
ERC_REST_utilitypv_class1_advanced_1,0.8
ERC_REST_utilitypv_class1_advanced_2,0.8
ERC_REST_utilitypv_class1_advanced_3,0.8
ERC_PHDL_TES,0
ERC_REST_TES,0
ERC_WEST_TES,0
ERC_REST_res_water_heat_1,0
ERC_WEST_res_water_heat_1,0
ERC_REST_trans_light_duty_1,0
ERC_WEST_trans_light_duty_1,0
ERC_REST_res_space_heat_cool_1,0
ERC_WEST_res_space_heat_cool_1,0
ERC_REST_comm_space_heat_cool_1,0
ERC_WEST_comm_space_heat_cool_1,0
