Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
5000.0,1.0,1.0,1.0,5000.0,1.0,8760.0,8760.0,1,0,40358,1793
,2.0,0.9,0.04,4500.0,,,,2,0,39559,1758
,3.0,0.55,0.024,2750.0,,,,3,0,38748,1722
,4.0,0.2,0.003,1000.0,,,,4,0,38370,1705
,,,,,,,,5,0,38458,1709
,,,,,,,,6,0,39255,1744
,,,,,,,,7,0,40983,1821
,,,,,,,,8,0,42160,1873
,,,,,,,,9,0,43640,1939
,,,,,,,,10,0,44666,1985
,,,,,,,,11,0,44873,1994
,,,,,,,,12,0,44581,1981
,,,,,,,,13,0,44349,1971
,,,,,,,,14,0,43703,1942
,,,,,,,,15,0,42723,1898
,,,,,,,,16,0,42331,1881
,,,,,,,,17,0,42707,1898
,,,,,,,,18,0,45519,2023
,,,,,,,,19,0,49754,2211
,,,,,,,,20,0,50535,2246
,,,,,,,,21,0,50376,2238
,,,,,,,,22,0,49821,2214
,,,,,,,,23,0,48208,2142
,,,,,,,,24,0,46135,2050
,,,,,,,,25,0,44210,1964
,,,,,,,,26,0,43666,1940
,,,,,,,,27,0,43654,1940
,,,,,,,,28,0,44308,1969
,,,,,,,,29,0,45813,2036
,,,,,,,,30,0,48836,2170
,,,,,,,,31,0,53510,2378
,,,,,,,,32,0,55743,2477
,,,,,,,,33,0,55852,2482
,,,,,,,,34,0,55187,2452
,,,,,,,,35,0,54640,2428
,,,,,,,,36,0,53238,2366
,,,,,,,,37,0,51750,2300
,,,,,,,,38,0,49970,2220
,,,,,,,,39,0,48603,2160
,,,,,,,,40,0,48066,2136
,,,,,,,,41,0,48774,2167
,,,,,,,,42,0,52564,2336
,,,,,,,,43,0,57194,2541
,,,,,,,,44,0,57732,2565
,,,,,,,,45,0,57854,2571
,,,,,,,,46,0,56820,2525
,,,,,,,,47,0,54276,2412
,,,,,,,,48,0,51708,2298
,,,,,,,,49,0,50284,2234
,,,,,,,,50,0,50003,2222
,,,,,,,,51,0,50346,2237
,,,,,,,,52,0,51439,2286
,,,,,,,,53,0,53730,2388
,,,,,,,,54,0,58890,2617
,,,,,,,,55,0,67734,3010
,,,,,,,,56,0,69393,3084
,,,,,,,,57,0,66262,2945
,,,,,,,,58,0,62080,2759
,,,,,,,,59,0,59060,2624
,,,,,,,,60,0,56333,2503
,,,,,,,,61,0,54116,2405
,,,,,,,,62,0,52274,2323
,,,,,,,,63,0,50843,2259
,,,,,,,,64,0,50237,2232
,,,,,,,,65,0,50859,2260
,,,,,,,,66,0,54407,2418
,,,,,,,,67,0,58911,2618
,,,,,,,,68,0,59247,2633
,,,,,,,,69,0,59048,2624
,,,,,,,,70,0,57037,2535
,,,,,,,,71,0,53518,2378
,,,,,,,,72,0,50014,2222
,,,,,,,,73,0,47933,2130
,,,,,,,,74,0,47143,2095
,,,,,,,,75,0,46895,2084
,,,,,,,,76,0,47356,2104
,,,,,,,,77,0,49094,2181
,,,,,,,,78,0,53527,2378
,,,,,,,,79,0,61165,2718
,,,,,,,,80,0,62738,2788
,,,,,,,,81,0,59769,2656
,,,,,,,,82,0,56437,2508
,,,,,,,,83,0,54220,2409
,,,,,,,,84,0,52229,2321
,,,,,,,,85,0,50727,2254
,,,,,,,,86,0,49640,2206
,,,,,,,,87,0,48852,2171
,,,,,,,,88,0,48397,2151
,,,,,,,,89,0,48857,2171
,,,,,,,,90,0,51284,2279
,,,,,,,,91,0,54807,2435
,,,,,,,,92,0,54616,2427
,,,,,,,,93,0,54061,2402
,,,,,,,,94,0,52244,2321
,,,,,,,,95,0,49105,2182
,,,,,,,,96,0,45826,2036
,,,,,,,,97,0,43966,1954
,,,,,,,,98,0,43355,1926
,,,,,,,,99,0,43198,1919
,,,,,,,,100,0,43761,1944
,,,,,,,,101,0,45536,2023
,,,,,,,,102,0,50001,2222
,,,,,,,,103,0,57433,2552
,,,,,,,,104,0,59537,2646
,,,,,,,,105,0,56991,2532
,,,,,,,,106,0,54215,2409
,,,,,,,,107,0,52581,2336
,,,,,,,,108,0,51146,2273
,,,,,,,,109,0,49933,2219
,,,,,,,,110,0,49126,2183
,,,,,,,,111,0,48443,2153
,,,,,,,,112,0,48107,2138
,,,,,,,,113,0,48367,2149
,,,,,,,,114,0,50432,2241
,,,,,,,,115,0,53665,2385
,,,,,,,,116,0,53345,2370
,,,,,,,,117,0,52667,2340
,,,,,,,,118,0,50624,2249
,,,,,,,,119,0,47352,2104
,,,,,,,,120,0,43988,1955
,,,,,,,,121,0,41730,1854
