Resource,technology,Zone,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CapRes_1
MIS_AMSO_LA_WOTA_res_water_heat_1,res_water_heat,1,0,263.4,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_AMSO_LA_WOTA,1,2,2,1,0
MIS_AR_res_water_heat_1,res_water_heat,2,0,63.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_AR,1,2,2,1,0
MIS_D_MS_res_water_heat_1,res_water_heat,3,0,78.7,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_D_MS,1,2,2,1,0
MIS_IA_MIDA_res_water_heat_1,res_water_heat,4,0,88.3,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_IA_MIDA,1,2,2,1,0
MIS_IL_res_water_heat_1,res_water_heat,5,0,53.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_IL,1,2,2,1,0
MIS_INKY_res_water_heat_1,res_water_heat,6,0,261.6,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,1,2,2,1,0
MIS_LMI_res_water_heat_1,res_water_heat,7,0,118.3,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_LMI,1,2,2,1,0
MIS_MAPP_MNWI_res_water_heat_1,res_water_heat,8,0,174.9,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_MAPP_MNWI,1,2,2,1,0
MIS_MO_res_water_heat_1,res_water_heat,9,0,118.6,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_MO,1,2,2,1,0
MIS_WUMS_res_water_heat_1,res_water_heat,10,0,90.3,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_WUMS,1,2,2,1,0
MIS_AMSO_LA_WOTA_trans_light_duty_1,trans_light_duty,1,0,549.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_AMSO_LA_WOTA,1,5,0,1,0
MIS_AR_trans_light_duty_1,trans_light_duty,2,0,219.8,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_AR,1,5,0,1,0
MIS_D_MS_trans_light_duty_1,trans_light_duty,3,0,178.7,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_D_MS,1,5,0,1,0
MIS_IA_MIDA_trans_light_duty_1,trans_light_duty,4,0,444.4,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_IA_MIDA,1,5,0,1,0
MIS_IL_trans_light_duty_1,trans_light_duty,5,0,168.5,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_IL,1,5,0,1,0
MIS_INKY_trans_light_duty_1,trans_light_duty,6,0,734.1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,1,5,0,1,0
MIS_LMI_trans_light_duty_1,trans_light_duty,7,0,719.6,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_LMI,1,5,0,1,0
MIS_MAPP_MNWI_trans_light_duty_1,trans_light_duty,8,0,833.7,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_MAPP_MNWI,1,5,0,1,0
MIS_MO_trans_light_duty_1,trans_light_duty,9,0,348,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_MO,1,5,0,1,0
MIS_WUMS_trans_light_duty_1,trans_light_duty,10,0,499.8,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_WUMS,1,5,0,1,0
