Resource,Zone,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,LDS,CapRes_1
MIS_AR_conventional_hydroelectric_1,2,0,361.9,0,0,0,53201,0,8.99,None,24.13,0,0,0,0,0.5,0.5,1,0.048,0,0,0,0,MIS_AR,1,0,0.8
MIS_AR_small_hydroelectric_1,2,0,11.8,0,0,0,53201,0,8.84,None,1.97,0,0,0,0,1,1,0,0.211,0,0,0,0,MIS_AR,1,0,0.8
MIS_D_MS_small_hydroelectric_1,3,0,0,0,0,0,53201,0,8.84,None,1,0,0,0,0,1,1,0,0,0,0,0,0,MIS_D_MS,1,0,0.8
MIS_IA_MIDA_conventional_hydroelectric_1,4,0,56,0,0,0,53201,0,8.84,None,28,0,0,0,0,0.5,0.5,1,0.1,0,0,0,0,MIS_IA_MIDA,1,0,0.8
MIS_IA_MIDA_small_hydroelectric_1,4,0,2.3,0,0,0,53201,0,8.84,None,0.288,0,0,0,0,1,1,0,0.15,0,0,0,0,MIS_IA_MIDA,1,0,0.8
MIS_IL_small_hydroelectric_1,5,0,2.2,0,0,0,53201,0,8.84,None,0.75,0,0,0,0,1,1,0,0.306,0,0,0,0,MIS_IL,1,0,0.8
MIS_INKY_conventional_hydroelectric_1,6,0,402.7,0,0,0,53201,0,9.01,None,23.69,0,0,0,0,0.5,0.5,1.082952443,0.141,0,0,0,0,MIS_INKY,1,0,0.8
MIS_INKY_small_hydroelectric_1,6,0,5.4,0,0,0,53201,0,8.84,None,0.77,0,0,0,0,1,1,0,0.41,0,0,0,0,MIS_INKY,1,0,0.8
MIS_AMSO_LA_WOTA_conventional_hydroelectric_1,1,0,369,0,0,0,53201,0,8.84,None,24.97,0,0,0,0,0.5,0.5,1,0.045,0,0,0,0,MIS_AMSO_LA_WOTA,1,0,0.8
MIS_LMI_conventional_hydroelectric_1,7,0,32.3,0,0,0,53201,0,8.84,None,8.07,0,0,0,0,0.5,0.5,1,0,0,0,0,0,MIS_LMI,1,0,0.8
MIS_LMI_small_hydroelectric_1,7,0,46.2,0,0,0,53201,0,8.84,None,0.89,0,0,0,0,1,1,0,0.062,0,0,0,0,MIS_LMI,1,0,0.8
MIS_MAPP_MNWI_conventional_hydroelectric_1,8,0,597.3,0,0,0,53201,0,9.15,None,74.663,0,0,0,0,0.5,0.5,1,0.01,0,0,0,0,MIS_MAPP_MNWI,1,0,0.8
MIS_MAPP_MNWI_small_hydroelectric_1,8,0,468.8,0,0,0,53201,0,8.84,None,3.125,0,0,0,0,1,1,0,0.3,0,0,0,0,MIS_MAPP_MNWI,1,0,0.8
MIS_MO_conventional_hydroelectric_1,9,0,380,0,0,0,53201,0,8.84,None,16.52,0,0,0,0,0.5,0.5,1,0,0,0,0,0,MIS_MO,1,0,0.8
MIS_AMSO_LA_WOTA_small_hydroelectric_1,1,0,1.4,0,0,0,53201,0,8.84,None,0.29,0,0,0,0,1,1,0,0.32,0,0,0,0,MIS_AMSO_LA_WOTA,1,0,0.8
MIS_WUMS_conventional_hydroelectric_1,10,0,63.9,0,0,0,53201,0,8.87,None,3.76,0,0,0,0,0.5,0.5,1,0.1,0,0,0,0,MIS_WUMS,1,0,0.8
MIS_WUMS_small_hydroelectric_1,10,0,313.4,0,0,0,53201,0,8.84,None,1.16,0,0,0,0,1,1,0,0.32,0,0,0,0,MIS_WUMS,1,0,0.8
