Resource,Zone,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,region,cluster,CapRes_1
MIS_AMSO_LA_WOTA_solar_photovoltaic_1,1,1,0,644.5,0,0,0,19951,0,MIS_AMSO_LA_WOTA,1,0.8
MIS_AR_solar_photovoltaic_1,2,1,0,763,0,0,0,19951,0,MIS_AR,1,0.8
MIS_D_MS_onshore_wind_turbine_1,3,1,0,184.5,0,0,0,42190,0,MIS_D_MS,1,0.8
MIS_D_MS_solar_photovoltaic_1,3,1,0,513.4,0,0,0,19951,0,MIS_D_MS,1,0.8
MIS_IA_MIDA_onshore_wind_turbine_1,4,1,0,13603.1,0,0,0,42190,0,MIS_IA_MIDA,1,0.8
MIS_IA_MIDA_solar_photovoltaic_1,4,1,0,264.3,0,0,0,19951,0,MIS_IA_MIDA,1,0.8
MIS_IL_onshore_wind_turbine_1,5,1,0,3155.3,0,0,0,42190,0,MIS_IL,1,0.8
MIS_IL_solar_photovoltaic_1,5,1,0,1116.4,0,0,0,19951,0,MIS_IL,1,0.8
MIS_INKY_onshore_wind_turbine_1,6,1,0,2801.4,0,0,0,42190,0,MIS_INKY,1,0.8
MIS_INKY_solar_photovoltaic_1,6,1,0,2210.6,0,0,0,19951,0,MIS_INKY,1,0.8
MIS_LMI_onshore_wind_turbine_1,7,1,0,3676.9,0,0,0,42190,0,MIS_LMI,1,0.8
MIS_LMI_solar_photovoltaic_1,7,1,0,1181,0,0,0,19951,0,MIS_LMI,1,0.8
MIS_MAPP_MNWI_onshore_wind_turbine_1,8,1,0,9223.2,0,0,0,42190,0,MIS_MAPP_MNWI,1,0.8
MIS_MAPP_MNWI_solar_photovoltaic_1,8,1,0,1323.3,0,0,0,19951,0,MIS_MAPP_MNWI,1,0.8
MIS_MO_onshore_wind_turbine_1,9,1,0,323,0,0,0,42190,0,MIS_MO,1,0.8
MIS_MO_solar_photovoltaic_1,9,1,0,34.6,0,0,0,19951,0,MIS_MO,1,0.8
MIS_WUMS_onshore_wind_turbine_1,10,1,0,916.7,0,0,0,42190,0,MIS_WUMS,1,0.8
