Resource,Derating_Factor_1
MIS_AMSO_LA_WOTA_conventional_hydroelectric_1,0.8
MIS_AMSO_LA_WOTA_small_hydroelectric_1,0.8
MIS_AMSO_LA_WOTA_batteries_1,0
MIS_AMSO_LA_WOTA_biomass_1,0.9
MIS_AMSO_LA_WOTA_natural_gas_fired_combined_cycle_1,0.9
MIS_AMSO_LA_WOTA_natural_gas_fired_combustion_turbine_1,0.9
MIS_AMSO_LA_WOTA_natural_gas_steam_turbine_1,0.9
MIS_AMSO_LA_WOTA_nuclear_1,0.9
MIS_AMSO_LA_WOTA_other_peaker_1,0.9
MIS_AMSO_LA_WOTA_solar_photovoltaic_1,0.8
MIS_AR_batteries_1,0
MIS_AR_biomass_1,0.9
MIS_AR_conventional_hydroelectric_1,0.8
MIS_AR_conventional_steam_coal_1,0.9
MIS_AR_natural_gas_fired_combined_cycle_1,0.9
MIS_AR_natural_gas_fired_combustion_turbine_1,0.9
MIS_AR_natural_gas_steam_turbine_1,0.9
MIS_AR_nuclear_1,0.9
MIS_AR_other_peaker_1,0.9
MIS_AR_small_hydroelectric_1,0.8
MIS_AR_solar_photovoltaic_1,0.8
MIS_D_MS_biomass_1,0.9
MIS_D_MS_natural_gas_fired_combined_cycle_1,0.9
MIS_D_MS_natural_gas_fired_combustion_turbine_1,0.9
MIS_D_MS_natural_gas_steam_turbine_1,0.9
MIS_D_MS_nuclear_1,0.9
MIS_D_MS_onshore_wind_turbine_1,0.8
MIS_D_MS_other_peaker_1,0.9
MIS_D_MS_small_hydroelectric_1,0.8
MIS_D_MS_solar_photovoltaic_1,0.8
MIS_IA_MIDA_batteries_1,0
MIS_IA_MIDA_biomass_1,0.9
MIS_IA_MIDA_conventional_hydroelectric_1,0.8
MIS_IA_MIDA_conventional_steam_coal_1,0.9
MIS_IA_MIDA_natural_gas_fired_combined_cycle_1,0.9
MIS_IA_MIDA_natural_gas_fired_combustion_turbine_1,0.9
MIS_IA_MIDA_natural_gas_steam_turbine_1,0.9
MIS_IA_MIDA_onshore_wind_turbine_1,0.8
MIS_IA_MIDA_other_peaker_1,0.9
MIS_IA_MIDA_small_hydroelectric_1,0.8
MIS_IA_MIDA_solar_photovoltaic_1,0.8
MIS_IL_batteries_1,0
MIS_IL_biomass_1,0.9
MIS_IL_conventional_steam_coal_1,0.9
MIS_IL_natural_gas_fired_combined_cycle_1,0.9
MIS_IL_natural_gas_fired_combustion_turbine_1,0.9
MIS_IL_natural_gas_steam_turbine_1,0.9
MIS_IL_nuclear_1,0.9
MIS_IL_onshore_wind_turbine_1,0.8
MIS_IL_other_peaker_1,0.9
MIS_IL_small_hydroelectric_1,0.8
MIS_IL_solar_photovoltaic_1,0.8
MIS_INKY_batteries_1,0
MIS_INKY_biomass_1,0.9
MIS_INKY_conventional_hydroelectric_1,0.8
MIS_INKY_conventional_steam_coal_1,0.9
MIS_INKY_natural_gas_fired_combined_cycle_1,0.9
MIS_INKY_natural_gas_fired_combustion_turbine_1,0.9
MIS_INKY_natural_gas_steam_turbine_1,0.9
MIS_INKY_onshore_wind_turbine_1,0.8
MIS_INKY_other_peaker_1,0.9
MIS_INKY_small_hydroelectric_1,0.8
MIS_INKY_solar_photovoltaic_1,0.8
MIS_LMI_batteries_1,0
MIS_LMI_biomass_1,0.9
MIS_LMI_conventional_hydroelectric_1,0.8
MIS_LMI_conventional_steam_coal_1,0.9
MIS_LMI_hydroelectric_pumped_storage_1,0.95
MIS_LMI_natural_gas_fired_combined_cycle_1,0.9
MIS_LMI_natural_gas_fired_combustion_turbine_1,0.9
MIS_LMI_natural_gas_steam_turbine_1,0.9
MIS_LMI_nuclear_1,0.9
MIS_LMI_onshore_wind_turbine_1,0.8
MIS_LMI_other_peaker_1,0.9
MIS_LMI_small_hydroelectric_1,0.8
MIS_LMI_solar_photovoltaic_1,0.8
MIS_MAPP_MNWI_biomass_1,0.9
MIS_MAPP_MNWI_conventional_hydroelectric_1,0.8
MIS_MAPP_MNWI_conventional_steam_coal_1,0.9
MIS_MAPP_MNWI_natural_gas_fired_combustion_turbine_1,0.9
MIS_MAPP_MNWI_onshore_wind_turbine_1,0.8
MIS_MAPP_MNWI_solar_photovoltaic_1,0.8
MIS_MAPP_MNWI_other_peaker_1,0.9
MIS_MAPP_MNWI_small_hydroelectric_1,0.8
MIS_MO_biomass_1,0.9
MIS_MO_conventional_hydroelectric_1,0.8
MIS_MO_conventional_steam_coal_1,0.9
MIS_MO_hydroelectric_pumped_storage_1,0.95
MIS_MO_natural_gas_fired_combined_cycle_1,0.9
MIS_MO_natural_gas_fired_combustion_turbine_1,0.9
MIS_MO_natural_gas_steam_turbine_1,0.9
MIS_MO_nuclear_1,0.9
MIS_MO_onshore_wind_turbine_1,0.8
MIS_MO_other_peaker_1,0.9
MIS_MO_solar_photovoltaic_1,0.8
MIS_WUMS_batteries_1,0
MIS_WUMS_biomass_1,0.9
MIS_WUMS_conventional_hydroelectric_1,0.8
MIS_WUMS_conventional_steam_coal_1,0.9
MIS_WUMS_natural_gas_fired_combined_cycle_1,0.9
MIS_WUMS_natural_gas_fired_combustion_turbine_1,0.9
MIS_WUMS_natural_gas_steam_turbine_1,0.9
MIS_WUMS_nuclear_1,0.9
MIS_WUMS_onshore_wind_turbine_1,0.8
MIS_WUMS_other_peaker_1,0.9
MIS_WUMS_small_hydroelectric_1,0.8
MIS_WUMS_solar_photovoltaic_1,0.8
MIS_AMSO_LA_WOTA_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_AMSO_LA_WOTA_naturalgas_ccavgcf_moderate_0,0.9
MIS_AMSO_LA_WOTA_naturalgas_ctavgcf_moderate_0,0.9
MIS_AMSO_LA_WOTA_nuclear_nuclear_moderate_0,0.9
MIS_AR_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_AR_naturalgas_ccavgcf_moderate_0,0.9
MIS_AR_naturalgas_ctavgcf_moderate_0,0.9
MIS_AR_nuclear_nuclear_moderate_0,0.9
MIS_D_MS_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_D_MS_naturalgas_ccavgcf_moderate_0,0.9
MIS_D_MS_naturalgas_ctavgcf_moderate_0,0.9
MIS_D_MS_nuclear_nuclear_moderate_0,0.9
MIS_IA_MIDA_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_IA_MIDA_naturalgas_ccavgcf_moderate_0,0.9
MIS_IA_MIDA_naturalgas_ctavgcf_moderate_0,0.9
MIS_IA_MIDA_nuclear_nuclear_moderate_0,0.9
MIS_IL_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_IL_naturalgas_ccavgcf_moderate_0,0.9
MIS_IL_naturalgas_ctavgcf_moderate_0,0.9
MIS_IL_nuclear_nuclear_moderate_0,0.9
MIS_INKY_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_INKY_naturalgas_ccavgcf_moderate_0,0.9
MIS_INKY_naturalgas_ctavgcf_moderate_0,0.9
MIS_INKY_nuclear_nuclear_moderate_0,0.9
MIS_LMI_naturalgas_ccccsavgcf_moderate_0,0.9
MIS_LMI_naturalgas_ccavgcf_moderate_0,0.9
MIS_LMI_naturalgas_ctavgcf_moderate_0,0.9
MIS_LMI_nuclear_nuclear_moderate_0,0.9
MIS_MAPP_MNWI_naturalgas_ccccsavgcf_moderate_0,0.9
