Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,region,cluster,CapRes_1,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Qualified_TES_Supply
MIS_AMSO_LA_WOTA_batteries_1,1,1,0,0,0.5,0.5,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_AMSO_LA_WOTA,1,0,9.21,None,0.5,0
MIS_AR_batteries_1,2,1,0,0,10,30,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_AR,1,0,9.21,None,10,0
MIS_IA_MIDA_batteries_1,4,1,0,0,8.9,28.1,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_IA_MIDA,1,0,9.25,None,2.81,0
MIS_IL_batteries_1,5,1,0,0,0.3,0.5,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_IL,1,0,9.21,None,0.3,0
MIS_INKY_batteries_1,6,1,0,0,36,99.6,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_INKY,1,0,9.84,None,7.2,0
MIS_LMI_batteries_1,7,1,0,0,1.3,1.5,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_LMI,1,0,9.21,None,0.65,0
MIS_LMI_hydroelectric_pumped_storage_1,7,1,0,0,2115,32782.5,0,0,0,0,53201,0,0,0,0,0.866,0.866,1,16,MIS_LMI,1,0.95,0,None,352.5,0
MIS_MAPP_MNWI_batteries_1,8,1,0,0,17,37,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_MAPP_MNWI,1,0,9.26,None,2.83,0
MIS_MO_hydroelectric_pumped_storage_1,9,1,0,0,440,6820,0,0,0,0,53201,0,0,0,0,0.866,0.866,1,16,MIS_MO,1,0.95,0,None,220,0
MIS_WUMS_batteries_1,10,1,0,0,5.3,20.4,0,0,0,0,6063,0,0,0,0,0.92,0.92,1,10,MIS_WUMS,1,0,9.21,None,2.65,0
MIS_AMSO_LA_WOTA_battery_advanced_0,1,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_AMSO_LA_WOTA,0,0.95,0,None,1,0
MIS_AR_battery_advanced_0,2,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_AR,0,0.95,0,None,1,0
MIS_D_MS_battery_advanced_0,3,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_D_MS,0,0.95,0,None,1,0
MIS_IA_MIDA_battery_advanced_0,4,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_IA_MIDA,0,0.95,0,None,1,0
MIS_IL_battery_advanced_0,5,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_IL,0,0.95,0,None,1,0
MIS_INKY_battery_advanced_0,6,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_INKY,0,0.95,0,None,1,0
MIS_LMI_battery_advanced_0,7,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_LMI,0,0.95,0,None,1,0
MIS_MAPP_MNWI_battery_advanced_0,8,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_MAPP_MNWI,0,0.95,0,None,1,0
MIS_MO_battery_advanced_0,9,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_MO,0,0.95,0,None,1,0
MIS_WUMS_battery_advanced_0,10,1,1,0,0,0,0,0,13630,15540,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_WUMS,0,0.95,0,None,1,0
MIS_AMSO_LA_WOTA_battery_advanced_TES_0,1,1,1,0,0,0,0,0,14993,17094,20877,0,0.15,0.15,0,0.92,0.92,1,10,MIS_AMSO_LA_WOTA,0,0.95,0,None,1,1
MIS_AR_battery_advanced_TES_0,2,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_AR,0,0.95,0,None,1,1
MIS_D_MS_battery_advanced_TES_0,3,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_D_MS,0,0.95,0,None,1,1
MIS_IA_MIDA_battery_advanced_TES_0,4,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_IA_MIDA,0,0.95,0,None,1,1
MIS_IL_battery_advanced_TES_0,5,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_IL,0,0.95,0,None,1,1
MIS_INKY_battery_advanced_TES_0,6,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_INKY,0,0.95,0,None,1,1
MIS_LMI_battery_advanced_TES_0,7,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_LMI,0,0.95,0,None,1,1
MIS_MAPP_MNWI_battery_advanced_TES_0,8,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_MAPP_MNWI,0,0.95,0,None,1,1
MIS_MO_battery_advanced_TES_0,9,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_MO,0,0.95,0,None,1,1
MIS_WUMS_battery_advanced_TES_0,10,1,1,0,0,0,0,0,14993,17094,22965,0,0.15,0.15,0,0.92,0.92,1,10,MIS_WUMS,0,0.95,0,None,1,1
