Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
10000,1,1,1,10000,1,8760,8760,1,9766,2634,2578,4745,2966,9773,8629,9618,4330,5861
,2,0.9,0.04,6000,,,,2,9527,2561,2517,4631,2880,9513,8297,9273,4281,5607
,3,0.55,0.024,2100,,,,3,9307,2500,2472,4556,2786,9348,8089,9088,4269,5456
,4,0.2,0.003,1100,,,,4,9171,2465,2455,4548,2722,9387,7989,9003,4338,5384
,,,,,,,,5,9185,2470,2471,4582,2720,9397,8033,9018,4445,5394
,,,,,,,,6,9422,2541,2526,4715,2765,9717,8226,9229,4602,5524
,,,,,,,,7,9834,2652,2606,4887,2870,10017,8602,9541,4843,5739
,,,,,,,,8,10197,2767,2686,5103,2997,10422,8829,10185,4973,6037
,,,,,,,,9,10661,2899,2766,5245,3063,10710,9093,10603,5078,6277
,,,,,,,,10,10973,2981,2823,5402,3144,10840,9369,10935,5105,6490
,,,,,,,,11,11039,2979,2828,5505,3148,10807,9636,11110,5121,6635
,,,,,,,,12,11038,2989,2835,5593,3195,10853,9908,11341,5078,6785
,,,,,,,,13,11043,3003,2827,5648,3288,10820,10008,11583,5037,6926
,,,,,,,,14,10911,2965,2785,5606,3300,10627,10023,11542,4997,6926
,,,,,,,,15,10658,2911,2764,5568,3296,10540,10108,11500,4892,6950
,,,,,,,,16,10677,2922,2827,5670,3384,10797,10321,11626,4971,7076
,,,,,,,,17,10918,3006,2995,6057,3633,11508,11249,12346,5374,7726
,,,,,,,,18,11585,3202,3101,6461,3913,11940,11637,13154,5835,8066
,,,,,,,,19,12272,3389,3170,6529,3919,12006,11451,13184,5902,7976
,,,,,,,,20,12459,3424,3177,6466,3850,11957,11214,12844,5912,7749
,,,,,,,,21,12334,3386,3142,6316,3779,11753,10859,12398,5805,7487
,,,,,,,,22,12114,3316,3068,6172,3687,11399,10359,11908,5690,7147
,,,,,,,,23,11705,3192,2970,5883,3546,11033,9733,11266,5480,6703
,,,,,,,,24,11247,3062,2895,5635,3376,10897,9240,10729,5291,6293
,,,,,,,,25,10941,2965,2862,5452,3234,10734,8861,10120,5151,5946
,,,,,,,,26,10901,2944,2894,5355,3166,10656,8685,9787,5136,5795
,,,,,,,,27,10955,2950,2952,5336,3134,10707,8635,9648,5148,5727
,,,,,,,,28,11182,3000,3052,5416,3159,10920,8726,9687,5305,5781
,,,,,,,,29,11615,3106,3217,5515,3223,11365,9007,9851,5503,5942
,,,,,,,,30,12426,3315,3425,5805,3391,12087,9530,10296,5839,6300
,,,,,,,,31,13510,3632,3658,6151,3593,12772,10366,10977,6279,6750
,,,,,,,,32,14111,3807,3737,6516,3775,13041,10757,11844,6440,7249
,,,,,,,,33,14252,3830,3766,6694,3816,13074,11036,12216,6445,7491
,,,,,,,,34,14001,3790,3738,6799,3909,13287,11345,12369,6367,7668
