Resource,Zone,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,Commit,CapRes_1
MIS_AMSO_LA_WOTA_biomass_1,1,0,179.4,0,0,0,150850,4.13,9.61,None,8.97,0,0,0,0,1,1,0,0.018,0,0,0,0,MIS_AMSO_LA_WOTA,1,1,0.9
MIS_AR_biomass_1,2,0,19.3,0,0,0,150850,4.05,9.43,None,1.76,0,0,0,0,1,1,0,0.039,0,0,0,0,MIS_AR,1,1,0.9
MIS_D_MS_biomass_1,3,0,62.8,0,0,0,150850,3.96,9.21,None,10.46,0,0,0,0,1,1,0,0,0,0,0,0,MIS_D_MS,1,1,0.9
MIS_IA_MIDA_biomass_1,4,0,16.5,0,0,0,150850,4.7,11.01,None,0.5,0,0,0,0,1,1,0,0.425,0,0,0,0,MIS_IA_MIDA,1,1,0.9
MIS_IL_biomass_1,5,0,7.2,0,0,0,150850,5.1,11.86,None,0.8,0,0,0,0,1,1,0,0.58,0,0,0,0,MIS_IL,1,1,0.9
MIS_INKY_biomass_1,6,0,79.1,0,0,0,150850,4.56,10.61,None,1.26,0,0,0,0,1,1,0,0.247,0,0,0,0,MIS_INKY,1,1,0.9
MIS_LMI_biomass_1,7,0,134.4,0,0,0,150850,6.18,14.38,None,1.28,0,0,0,0,1,1,0,0.404,0,0,0,0,MIS_LMI,1,1,0.9
MIS_MAPP_MNWI_biomass_1,8,0,55.7,0,0,0,150850,5.85,13.62,None,2.06,0,0,0,0,1,1,0,0.295,0,0,0,0,MIS_MAPP,1,1,0.9
MIS_MO_biomass_1,9,0,2.1,0,0,0,150850,4.99,11.62,None,0.35,0,0,0,0,1,1,0,0.579,0,0,0,0,MIS_MO,1,1,0.9
MIS_WUMS_biomass_1,10,0,110.3,0,0,0,150850,4.63,10.77,None,1.6,0,0,0,0,1,1,0,0.132,0,0,0,0,MIS_WUMS,1,1,0.9
