Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5
3500,1,1,1,3500,1,8760,8760,1,10182,4259,1762,1787,12305
,2,0.9,0.04,3000,,,,2,10016,4144,1719,1755,11963
,3,0.55,0.024,2200,,,,3,9946,4061,1679,1759,11696
,4,0.2,0.003,1100,,,,4,9975,4028,1657,1784,11535
,,,,,,,,5,10116,4052,1649,1823,11575
,,,,,,,,6,10368,4148,1673,1891,11868
,,,,,,,,7,10731,4306,1727,1969,12166
,,,,,,,,8,10896,4486,1777,2035,12710
,,,,,,,,9,10962,4530,1829,2110,13022
,,,,,,,,10,11112,4582,1863,2200,13201
,,,,,,,,11,11195,4580,1874,2267,13083
,,,,,,,,12,11198,4574,1872,2315,13191
,,,,,,,,13,11173,4583,1872,2360,13185
,,,,,,,,14,11047,4591,1850,2352,12981
,,,,,,,,15,10955,4570,1819,2373,12919
,,,,,,,,16,11065,4571,1810,2416,12973
,,,,,,,,17,11596,4740,1824,2537,13349
,,,,,,,,18,12628,5192,1927,2606,14313
,,,,,,,,19,13076,5369,2123,2631,15460
,,,,,,,,20,13024,5334,2178,2580,15515
,,,,,,,,21,12813,5244,2167,2471,15389
,,,,,,,,22,12534,5103,2143,2365,15051
,,,,,,,,23,12039,4855,2070,2240,14420
,,,,,,,,24,11534,4614,1969,2161,13738
,,,,,,,,25,11234,4461,1875,2088,13175
,,,,,,,,26,11114,4409,1834,2044,12912
,,,,,,,,27,11135,4399,1818,2055,12866
,,,,,,,,28,11331,4435,1830,2071,12936
,,,,,,,,29,11642,4517,1873,2119,13240
,,,,,,,,30,12216,4713,1970,2181,13957
,,,,,,,,31,12942,4989,2119,2300,14846
,,,,,,,,32,13295,5265,2218,2415,15676
,,,,,,,,33,13405,5335,2246,2499,15946
,,,,,,,,34,13600,5380,2247,2538,16121
,,,,,,,,35,13757,5429,2240,2562,15939
,,,,,,,,36,13645,5403,2200,2551,15811
,,,,,,,,37,13457,5216,2158,2534,15524
,,,,,,,,38,13224,5074,2100,2509,15166
,,,,,,,,39,13040,4954,2053,2511,14904
,,,,,,,,40,13119,4982,2033,2608,14925
,,,,,,,,41,13663,5193,2057,2815,15459
,,,,,,,,42,14655,5729,2194,2927,16837
,,,,,,,,43,15053,5905,2404,2902,17956
,,,,,,,,44,14789,5797,2439,2779,17902
,,,,,,,,45,14493,5708,2427,2699,17744
,,,,,,,,46,14038,5503,2384,2606,17315
,,,,,,,,47,13372,5178,2280,2428,16519
,,,,,,,,48,12820,4882,2153,2299,15703
,,,,,,,,49,12579,4696,2063,2220,15068
,,,,,,,,50,12512,4628,2024,2188,14866
,,,,,,,,51,12531,4617,2016,2186,14879
,,,,,,,,52,12723,4657,2040,2242,15056
,,,,,,,,53,13165,4806,2109,2328,15501
,,,,,,,,54,14041,5131,2273,2546,16737
,,,,,,,,55,15026,5689,2548,2735,18556
,,,,,,,,56,15538,6075,2674,2804,19309
,,,,,,,,57,15300,6014,2611,2791,18871
,,,,,,,,58,15021,5927,2498,2720,18288
,,,,,,,,59,14815,5869,2409,2679,17534
,,,,,,,,60,14416,5768,2325,2657,17104
,,,,,,,,61,14026,5623,2259,2615,16664
,,,,,,,,62,13700,5508,2203,2622,16229
,,,,,,,,63,13394,5402,2155,2614,15835
,,,,,,,,64,13335,5392,2132,2645,15740
,,,,,,,,65,13793,5494,2154,2758,16128
,,,,,,,,66,14772,5885,2275,2844,17247
,,,,,,,,67,14905,5938,2474,2780,18328
,,,,,,,,68,14582,5812,2494,2641,18240
,,,,,,,,69,14296,5660,2479,2502,18070
,,,,,,,,70,13702,5367,2412,2347,17396
,,,,,,,,71,12907,5010,2262,2208,16330
,,,,,,,,72,12186,4674,2097,2388,15320
,,,,,,,,73,11878,4456,1988,2319,14645
,,,,,,,,74,11736,4329,1929,2275,14347
,,,,,,,,75,11669,4295,1907,2309,14233
,,,,,,,,76,11749,4338,1913,2345,14298
,,,,,,,,77,12122,4458,1963,2429,14635
,,,,,,,,78,12937,4750,2109,2670,15694
,,,,,,,,79,14017,5353,2357,2877,17483
,,,,,,,,80,14419,5753,2479,2951,18102
,,,,,,,,81,14034,5636,2423,2926,17563
,,,,,,,,82,13686,5493,2332,2895,17126
,,,,,,,,83,13506,5449,2262,2851,16415
,,,,,,,,84,13177,5376,2198,2799,16066
,,,,,,,,85,12870,5261,2153,2784,15706
,,,,,,,,86,12665,5171,2119,2754,15411
,,,,,,,,87,12457,5094,2091,2787,15169
,,,,,,,,88,12461,5039,2074,2849,15135
,,,,,,,,89,12809,5104,2087,3020,15370
,,,,,,,,90,13766,5507,2175,3115,16336
,,,,,,,,91,14049,5624,2341,3079,17208
,,,,,,,,92,13813,5496,2353,2969,17116
,,,,,,,,93,13574,5375,2329,2850,16971
,,,,,,,,94,13028,5100,2271,2693,16434
,,,,,,,,95,12256,4718,2137,2524,15480
,,,,,,,,96,11641,4392,1986,2432,14581
,,,,,,,,97,11282,4230,1885,2373,13987
,,,,,,,,98,11114,4183,1834,2318,13762
,,,,,,,,99,11087,4199,1818,2306,13748
,,,,,,,,100,11214,4252,1827,2337,13793
,,,,,,,,101,11600,4405,1881,2448,14232
,,,,,,,,102,12446,4742,2029,2665,15373
,,,,,,,,103,13633,5321,2278,2848,16997
,,,,,,,,104,14043,5702,2413,2916,17854
,,,,,,,,105,13639,5549,2367,2861,17404
,,,,,,,,106,13183,5388,2288,2804,16863
,,,,,,,,107,13022,5293,2229,2787,16128
,,,,,,,,108,12687,5200,2178,2760,15779
,,,,,,,,109,12393,5104,2136,2758,15522
,,,,,,,,110,12188,5064,2106,2750,15170
,,,,,,,,111,11981,4986,2080,2745,14982
,,,,,,,,112,11897,4953,2061,2755,14832
,,,,,,,,113,12165,5009,2072,2920,14980
,,,,,,,,114,13009,5264,2147,3031,15861
,,,,,,,,115,13294,5365,2303,2970,16688
,,,,,,,,116,13019,5261,2310,2894,16639
,,,,,,,,117,12718,5160,2281,2786,16511
,,,,,,,,118,12127,4907,2216,2631,15973
,,,,,,,,119,11334,4552,2083,2458,15100
,,,,,,,,120,10643,4228,1934,2266,14188
,,,,,,,,121,10304,4018,1824,2172,13462
,,,,,,,,122,10162,3920,1762,2157,13123
,,,,,,,,123,10135,3898,1733,2168,13017
,,,,,,,,124,10305,3942,1735,2194,13034
,,,,,,,,125,10703,4077,1770,2333,13384
,,,,,,,,126,11584,4406,1888,2541,14360
,,,,,,,,127,12776,4985,2105,2745,15690
,,,,,,,,128,13238,5366,2244,2830,16500
,,,,,,,,129,12930,5280,2215,2819,16175
,,,,,,,,130,12693,5157,2170,2785,15951
,,,,,,,,131,12559,5123,2148,2764,15454
,,,,,,,,132,12345,5129,2115,2742,15230
,,,,,,,,133,12121,5083,2090,2728,14949
,,,,,,,,134,11955,5088,2075,2731,14783
,,,,,,,,135,11779,5027,2059,2724,14591
,,,,,,,,136,11690,5006,2046,2797,14472
,,,,,,,,137,11956,5132,2048,2898,14508
,,,,,,,,138,12681,5416,2088,2974,15087
,,,,,,,,139,12789,5458,2202,2938,15581
,,,,,,,,140,12472,5333,2178,2850,15258
,,,,,,,,141,12217,5249,2129,2740,14949
,,,,,,,,142,11825,5045,2083,2589,14612
,,,,,,,,143,11327,4770,1992,2412,13987
,,,,,,,,144,10774,4506,1868,2294,13248
,,,,,,,,145,10482,4331,1760,2245,12545
,,,,,,,,146,10275,4229,1689,2191,12159
,,,,,,,,147,10257,4200,1643,2174,11946
,,,,,,,,148,10375,4225,1635,2193,11842
,,,,,,,,149,10581,4296,1653,2238,11921
,,,,,,,,150,11017,4462,1704,2362,12346
,,,,,,,,151,11629,4708,1798,2503,12877
,,,,,,,,152,12025,4954,1892,2576,13619
,,,,,,,,153,12147,5052,1965,2638,13978
,,,,,,,,154,12254,5142,2023,2655,14314
,,,,,,,,155,12219,5171,2045,2638,14335
,,,,,,,,156,11994,5108,2043,2613,14386
,,,,,,,,157,11743,4981,2030,2578,14226
,,,,,,,,158,11502,4897,2002,2563,13969
,,,,,,,,159,11357,4808,1973,2559,13899
,,,,,,,,160,11418,4813,1963,2582,13873
,,,,,,,,161,11821,4927,1968,2736,14077
,,,,,,,,162,12624,5213,2027,2830,14723
,,,,,,,,163,12841,5295,2163,2831,15587
,,,,,,,,164,12694,5222,2187,2767,15383
,,,,,,,,165,12478,5131,2152,2664,15135
,,,,,,,,166,12142,4971,2096,2545,14676
,,,,,,,,167,11632,4714,2014,2406,13973
,,,,,,,,168,11135,4469,1901,2286,13169
,,,,,,,,169,10847,4296,1792,2218,12468
,,,,,,,,170,10707,4188,1726,2165,12016
,,,,,,,,171,10652,4135,1691,2156,11755
,,,,,,,,172,10687,4122,1679,2164,11628
,,,,,,,,173,10830,4153,1683,2188,11627
,,,,,,,,174,11113,4245,1715,2275,11911
,,,,,,,,175,11553,4394,1789,2370,12250
,,,,,,,,176,11829,4593,1865,2477,12944
,,,,,,,,177,11955,4696,1939,2522,13465
,,,,,,,,178,12093,4766,1993,2530,13884
,,,,,,,,179,12124,4754,2010,2517,13892
,,,,,,,,180,11973,4749,2014,2512,14037
,,,,,,,,181,11891,4728,2028,2503,14224
,,,,,,,,182,11733,4632,2027,2497,14209
,,,,,,,,183,11563,4541,2007,2527,14253
,,,,,,,,184,11640,4524,2014,2612,14364
,,,,,,,,185,12071,4646,2032,2757,14676
,,,,,,,,186,13030,5057,2126,2869,15479
