Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Min_Retired_Cap_MW,region,cluster,CapRes_1
SPP_N_conventional_steam_coal_1,1,1,0,1,7115.8,0,0,0,74662,2.12,10.74,west_north_central_coal,508.27,140,16.5,24,24,0.57,0.57,0,0.458,0.095,0.19,0,0,6374.6,SPP_N,1,0.9
SPP_N_natural_gas_fired_combined_cycle_1,1,1,0,1,1873,0,0,0,13535,4.43,7.78,west_north_central_naturalgas,468.25,104,2,6,6,0.64,0.64,0,0.398,0.106666667,0.213333333,0,0,0,SPP_N,1,0.9
SPP_N_natural_gas_fired_combustion_turbine_1,1,1,0,1,4264.2,0,0,0,12554,5.97,14.45,west_north_central_naturalgas,61.8,135,3.5,1,1,3.78,3.78,0,0.457,0.63,1.26,0,0,555.6,SPP_N,1,0.9
SPP_N_natural_gas_steam_turbine_1,1,1,0,1,814.8,0,0,0,58012,1.19,13.22,west_north_central_naturalgas,42.88,99,13.7,24,24,0.57,0.57,0,0.153,0.095,0.19,0,0,814.8,SPP_N,1,0.9
SPP_N_nuclear_1,1,1,0,1,1255,0,0,0,311155,2.84,10.44,west_north_central_uranium,1255,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,SPP_N,1,0.9
SPP_N_other_peaker_1,1,1,0,1,1579.9,0,0,0,21000,7.96,15.48,west_north_central_naturalgas,4.8,99,0,1,1,3.78,3.78,0,0.322,0.63,1.26,0,0,1259.9,SPP_N,1,0.9
SPP_NEBR_conventional_steam_coal_1,2,1,0,1,3807.4,0,0,0,71618,2.12,11.51,west_north_central_coal,223.96,140,16.5,24,24,0.57,0.57,0,0.209,0.095,0.19,0,0,2912.6,SPP_NEBR,1,0.9
SPP_NEBR_natural_gas_fired_combined_cycle_1,2,1,0,1,344.6,0,0,0,18649,5.15,8.61,west_north_central_naturalgas,172.3,104,2,6,6,0.64,0.64,0,0.145,0.106666667,0.213333333,0,0,0,SPP_NEBR,1,0.9
SPP_NEBR_natural_gas_fired_combustion_turbine_1,2,1,0,1,1488,0,0,0,12326,5.97,12.8,west_north_central_naturalgas,82.67,135,3.5,1,1,3.78,3.78,0,0.437,0.63,1.26,0,0,183.2,SPP_NEBR,1,0.9
SPP_NEBR_natural_gas_steam_turbine_1,2,1,0,1,140.3,0,0,0,58012,1.19,12.91,west_north_central_naturalgas,46.77,99,13.7,24,24,0.57,0.57,0,0.093,0.095,0.19,0,0,140.3,SPP_NEBR,1,0.9
SPP_NEBR_nuclear_1,2,1,0,1,770,0,0,0,388943,2.84,10.44,west_north_central_uranium,770,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,SPP_NEBR,1,0.9
SPP_NEBR_other_peaker_1,2,1,0,1,679.1,0,0,0,21000,6.02,11.7,west_north_central_naturalgas,4.09,99,0,1,1,3.78,3.78,0,0.251,0.63,1.26,0,0,535,SPP_NEBR,1,0.9
SPP_SPS_conventional_steam_coal_1,3,1,0,1,2085,0,0,0,65327,2.12,11.5,west_south_central_coal,417,140,16.5,24,24,0.57,0.57,0,0.295,0.095,0.19,0,0,0,SPP_SPS,1,0.9
SPP_SPS_natural_gas_fired_combined_cycle_1,3,1,0,1,1176,0,0,0,14561,4.57,7.82,west_south_central_naturalgas,392,104,2,6,6,0.64,0.64,0,0.526,0.106666667,0.213333333,0,0,22,SPP_SPS,1,0.9
SPP_SPS_natural_gas_fired_combustion_turbine_1,3,1,0,1,1991.8,0,0,0,11606,5.97,11.28,west_south_central_naturalgas,117.16,135,3.5,1,1,3.78,3.78,0,0.575,0.63,1.26,0,0,52,SPP_SPS,1,0.9
SPP_SPS_natural_gas_steam_turbine_1,3,1,0,1,421.5,0,0,0,58012,1.19,11.92,west_south_central_naturalgas,60.21,99,13.7,24,24,0.57,0.57,0,0.402,0.095,0.19,0,0,421.5,SPP_SPS,1,0.9
SPP_SPS_other_peaker_1,3,1,0,1,239.9,0,0,0,21000,4.74,9.21,west_south_central_naturalgas,8.88,99,0,1,1,3.78,3.78,0,0.357,0.63,1.26,0,0,0,SPP_SPS,1,0.9
SPP_WAUE_conventional_steam_coal_1,4,1,0,1,1998,0,0,0,75932,2.12,11.23,west_north_central_coal,285.43,140,16.5,24,24,0.57,0.57,0,0.365,0.095,0.19,0,0,1610,SPP_WAUE,1,0.9
SPP_WAUE_natural_gas_fired_combined_cycle_1,4,1,0,1,300,0,0,0,18649,5.15,7.9,west_north_central_naturalgas,300,104,2,6,6,0.64,0.64,0,0.533,0.106666667,0.213333333,0,0,0,SPP_WAUE,1,0.9
SPP_WAUE_natural_gas_fired_combustion_turbine_1,4,1,0,1,1172.6,0,0,0,13333,5.97,10.17,west_north_central_naturalgas,68.98,135,3.5,1,1,3.78,3.78,0,0.383,0.63,1.26,0,0,0,SPP_WAUE,1,0.9
SPP_WAUE_natural_gas_steam_turbine_1,4,1,0,1,7.5,0,0,0,58012,1.19,9.21,west_north_central_naturalgas,3.75,99,13.7,24,24,0.57,0.57,0,0,0.095,0.19,0,0,7.5,SPP_WAUE,1,0.9
SPP_WAUE_other_peaker_1,4,1,0,1,446.3,0,0,0,21000,5.74,11.17,west_north_central_naturalgas,11.16,99,0,1,1,3.78,3.78,0,0.246,0.63,1.26,0,0,291.9,SPP_WAUE,1,0.9
SPP_WEST_conventional_steam_coal_1,5,1,0,1,4631,0,0,0,78786,2.12,11.45,west_south_central_coal,421,140,16.5,24,24,0.57,0.57,0,0.421,0.095,0.19,0,0,4631,SPP_WEST,1,0.9
SPP_WEST_natural_gas_fired_combined_cycle_1,5,1,0,1,9548.6,0,0,0,14095,4.32,7.55,west_south_central_naturalgas,280.84,104,2,6,6,0.64,0.64,0,0.448,0.106666667,0.213333333,0,0,538.8,SPP_WEST,1,0.9
SPP_WEST_natural_gas_fired_combustion_turbine_1,5,1,0,1,1852.7,0,0,0,12741,5.97,11.21,west_south_central_naturalgas,51.46,135,3.5,1,1,3.78,3.78,0,0.57,0.63,1.26,0,0,122,SPP_WEST,1,0.9
SPP_WEST_natural_gas_steam_turbine_1,5,1,0,1,7240.2,0,0,0,41215,1.19,12.92,west_south_central_naturalgas,206.86,99,13.7,24,24,0.57,0.57,0,0.222,0.095,0.19,0,0,7240.2,SPP_WEST,1,0.9
SPP_WEST_other_peaker_1,5,1,0,1,404.9,0,0,0,21000,5.64,10.96,west_south_central_naturalgas,4.01,99,0,1,1,3.78,3.78,0,0.558,0.63,1.26,0,0,179.6,SPP_WEST,1,0.9
SPP_N_naturalgas_ccavgcf_moderate_0,1,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,SPP_N,0,0.9
SPP_N_naturalgas_ctavgcf_moderate_0,1,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,SPP_N,0,0.9
SPP_N_naturalgas_ccccsavgcf_moderate_0,1,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,SPP_N,0,0.9
SPP_N_nuclear_nuclear_moderate_0,1,1,1,0,0,-1,0,299576,165046,3.21,10.44,west_north_central_uranium,500.0,365.0,0.0,24,24,0.25,0.25,0.0,0.5,0.041666667,0.083333333,0.0,0.0,0,SPP_N,0,0.9
SPP_NEBR_naturalgas_ccavgcf_moderate_0,2,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,SPP_NEBR,0,0.9
SPP_NEBR_naturalgas_ctavgcf_moderate_0,2,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,SPP_NEBR,0,0.9
SPP_NEBR_naturalgas_ccccsavgcf_moderate_0,2,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,SPP_NEBR,0,0.9
SPP_NEBR_nuclear_nuclear_moderate_0,2,1,1,0,0,-1,0,299576,165046,3.21,10.44,west_north_central_uranium,500.0,365.0,0.0,24,24,0.25,0.25,0.0,0.5,0.041666667,0.083333333,0.0,0.0,0,SPP_NEBR,0,0.9
SPP_SPS_naturalgas_ccavgcf_moderate_0,3,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,SPP_SPS,0,0.9
SPP_SPS_naturalgas_ctavgcf_moderate_0,3,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,SPP_SPS,0,0.9
SPP_SPS_naturalgas_ccccsavgcf_moderate_0,3,1,1,0,0,-1,0,180176,56334,4.89,6.61,west_south_central_naturalgas_ccs95,500,135,2,6,6,0.64,0.64,0,0.6,0.106666667,0.21333333,0,0,0,SPP_SPS,0,0.9
SPP_SPS_nuclear_nuclear_moderate_0,3,1,1,0,0,-1,0,299576,165046,3.21,10.44,west_south_central_uranium,500.0,365.0,0.0,24,24,0.25,0.25,0.0,0.5,0.041666667,0.083333333,0.0,0.0,0,SPP_SPS,0,0.9
SPP_WAUE_naturalgas_ccavgcf_moderate_0,4,1,1,0,0,-1,0,98807,30336,2.04,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.21333333,0,0,0,SPP_WAUE,0,0.9
SPP_WAUE_naturalgas_ctavgcf_moderate_0,4,1,1,0,0,-1,0,88158,24005,6.52,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,SPP_WAUE,0,0.9
